method,train_fraction,n_rows,mean_training_size,mean_mean_posterior_std,mean_mean_ci_width,mean_median_ci_width,mean_mean_sign_confidence,mean_attribution_distance_to_full_train,mean_top_k_jaccard_to_full_train,mean_n_features,mean_n_explained_instances,mean_uncertainty_decrease_slope,mean_uncertainty_decrease_rate,n_datasets,n_seeds,status_ok,status_skipped,status_error,metric_direction
bayesian_hyb_fpde,0.1,50,80.0,0.09486879996924756,0.3695962434492193,0.3630419891804273,0.8676036348633879,0.052461431315265976,0.769047619047619,21.4,50.0,-0.24937261094853247,0.24937261094853247,5,10,50,0,0,mixed
bayesian_hyb_fpde,0.25,50,200.4,0.060658550984978625,0.2357930912172255,0.231020539876857,0.902246213989071,0.03092146349546227,0.8357142857142857,21.4,50.0,-0.24937261094853247,0.24937261094853247,5,10,50,0,0,mixed
bayesian_hyb_fpde,0.5,50,400.6,0.043442741701031344,0.16884155740732557,0.16632322900242577,0.927012832896175,0.01905926826793496,0.879047619047619,21.4,50.0,-0.24937261094853247,0.24937261094853247,5,10,50,0,0,mixed
bayesian_hyb_fpde,0.75,50,601.6,0.035659982987405844,0.13863257149293823,0.13648772196883902,0.9337600668852459,0.010857797650324326,0.94,21.4,50.0,-0.24937261094853247,0.24937261094853247,5,10,50,0,0,mixed
bayesian_hyb_fpde,1.0,50,802.0,0.030811584790452037,0.11972978113859586,0.11809958538260766,0.9421066596721311,0.0,1.0,21.4,50.0,-0.24937261094853247,0.24937261094853247,5,10,50,0,0,mixed
bootstrap_fpde,0.1,50,80.0,0.08946210920959453,0.3238292894310961,0.31870819140282314,0.8839086032786885,0.05343202271335221,0.7757142857142857,21.4,50.0,-0.21772016875506034,0.21772016875506034,5,10,50,0,0,mixed
bootstrap_fpde,0.25,50,200.4,0.05829104648652126,0.21159664952631435,0.2057265844031106,0.9112739092896175,0.03121388124079199,0.8392857142857143,21.4,50.0,-0.21772016875506034,0.21772016875506034,5,10,50,0,0,mixed
bootstrap_fpde,0.5,50,400.6,0.041866907338616775,0.15178434237945143,0.14716780611372407,0.9320828907103825,0.019025034051545594,0.879047619047619,21.4,50.0,-0.21772016875506034,0.21772016875506034,5,10,50,0,0,mixed
bootstrap_fpde,0.75,50,601.6,0.034333566841660425,0.12444627138463481,0.12019732412006717,0.9372545049180327,0.010737904242947174,0.9352380952380952,21.4,50.0,-0.21772016875506034,0.21772016875506034,5,10,50,0,0,mixed
bootstrap_fpde,1.0,50,802.0,0.029651359901769064,0.1073074821163358,0.10379871264587338,0.9439897868852459,0.0,1.0,21.4,50.0,-0.21772016875506034,0.21772016875506034,5,10,50,0,0,mixed
