dataset,fold,method,abs_exactness_residual_mean,abs_exactness_residual_std,abs_exactness_residual_median,n
esc50,1,dynamic_cos,3.1065102747140913e-17,4.8413194462773834e-17,1.3877787807814457e-17,400
esc50,1,dynamic_diff,9.519940391555793e-14,1.463335356842263e-13,2.842170943040401e-14,400
esc50,1,dynamic_hyb,3.3837407702186354e-17,4.331618231792274e-17,1.3877787807814457e-17,400
esc50,2,dynamic_cos,2.0860049798621106e-17,2.973545378222515e-17,6.938893903907228e-18,400
esc50,2,dynamic_diff,1.2247092229245026e-13,2.7417288512661363e-13,2.842170943040401e-14,400
esc50,2,dynamic_hyb,3.6924673388338824e-17,4.516335411033638e-17,2.7755575615628914e-17,400
esc50,3,dynamic_cos,2.820890764899941e-17,5.161921815217936e-17,1.3877787807814457e-17,400
esc50,3,dynamic_diff,8.225642389447785e-14,1.3447114357778665e-13,2.842170943040401e-14,400
esc50,3,dynamic_hyb,3.553797880972986e-17,4.2339352769036014e-17,2.7755575615628914e-17,400
esc50,4,dynamic_cos,2.393200112908722e-17,3.777570843250648e-17,1.3877787807814457e-17,400
esc50,4,dynamic_diff,9.367173703367371e-14,1.5660825668078998e-13,2.842170943040401e-14,400
esc50,4,dynamic_hyb,3.333487999523932e-17,4.251276424053029e-17,2.2985086056692694e-17,400
esc50,5,dynamic_cos,2.764065018534545e-17,5.0755293558308175e-17,1.0408340855860843e-17,400
esc50,5,dynamic_diff,8.995915123932718e-14,1.3688445702867457e-13,2.842170943040401e-14,400
esc50,5,dynamic_hyb,3.240300822798803e-17,4.341808882397037e-17,1.3877787807814457e-17,400
