dataset,fold,seed,candidate_id,lambda_hyb,status,score,mean_combined_score,mean_deletion_drop_auc,mean_insertion_gain_auc,mean_insertion_auc,mean_evidence,n_eval_samples,normalize,anchor_strategy,rank_by,metric_source
esc50,1,0,0,0.0,ok,0.14662486725989524,0.14662486725989524,0.14662486725989524,0.14662486725989524,0.14662486725989524,-0.13966616065221438,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,1,0,1,0.25,ok,0.15237494572385854,0.15237494572385854,0.15237494572385857,0.15237494572385862,0.15237494572385862,-0.14532851183083617,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,1,0,2,0.5,ok,0.15569751850565633,0.15569751850565633,0.15569751850565633,0.15569751850565633,0.15569751850565633,-0.15099086300945788,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,1,0,3,0.75,ok,0.15061041042520593,0.15061041042520593,0.1506104104252059,0.1506104104252059,0.1506104104252059,-0.15665321418807965,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,1,0,4,1.0,ok,0.1434930210495046,0.1434930210495046,0.14349302104950457,0.14349302104950457,0.14349302104950457,-0.16231556536670144,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,2,0,0,0.0,ok,0.18519551033439144,0.18519551033439144,0.18519551033439144,0.18519551033439144,0.18519551033439144,-0.16100504773412205,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,2,0,1,0.25,ok,0.1854919461183563,0.1854919461183563,0.1854919461183563,0.18549194611835623,0.18549194611835623,-0.16825552336373015,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,2,0,2,0.5,ok,0.17841784359122442,0.17841784359122442,0.17841784359122442,0.1784178435912244,0.1784178435912244,-0.17550599899333824,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,2,0,3,0.75,ok,0.16624411083340784,0.16624411083340784,0.16624411083340784,0.1662441108334079,0.1662441108334079,-0.18275647462294628,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,2,0,4,1.0,ok,0.16252357463330352,0.16252357463330352,0.16252357463330355,0.16252357463330358,0.16252357463330358,-0.1900069502525544,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,3,0,0,0.0,ok,0.8341014607103154,0.8341014607103154,0.8341014607103154,0.8341014607103154,0.8341014607103154,-0.15528777045378397,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,3,0,1,0.25,ok,0.8347389226487303,0.8347389226487303,0.8347389226487303,0.8347389226487303,0.8347389226487303,-0.16122116915323217,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,3,0,2,0.5,ok,0.827100173843595,0.827100173843595,0.827100173843595,0.8271001738435951,0.8271001738435951,-0.16715456785268037,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,3,0,3,0.75,ok,0.8112254479282395,0.8112254479282395,0.8112254479282395,0.8112254479282395,0.8112254479282395,-0.17308796655212855,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,3,0,4,1.0,ok,0.7933638693636595,0.7933638693636595,0.7933638693636595,0.7933638693636595,0.7933638693636595,-0.1790213652515768,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,4,0,0,0.0,ok,0.4549989943550333,0.4549989943550333,0.4549989943550333,0.4549989943550333,0.4549989943550333,-0.16527138923852897,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,4,0,1,0.25,ok,0.4556718251559145,0.4556718251559145,0.4556718251559145,0.4556718251559145,0.4556718251559145,-0.1758481435784917,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,4,0,2,0.5,ok,0.45315390756081514,0.45315390756081514,0.45315390756081514,0.45315390756081514,0.45315390756081514,-0.18642489791845457,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,4,0,3,0.75,ok,0.44908325189694126,0.44908325189694126,0.4490832518969412,0.44908325189694126,0.44908325189694126,-0.19700165225841737,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,4,0,4,1.0,ok,0.44020642354954803,0.44020642354954803,0.44020642354954803,0.44020642354954803,0.44020642354954803,-0.2075784065983802,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,5,0,0,0.0,ok,0.1951268793666398,0.1951268793666398,0.19512687936663975,0.1951268793666398,0.1951268793666398,-0.2038910730263602,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,5,0,1,0.25,ok,0.19055761529383614,0.19055761529383614,0.19055761529383605,0.19055761529383608,0.19055761529383608,-0.21703549537819647,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,5,0,2,0.5,ok,0.18396137381026803,0.18396137381026803,0.18396137381026803,0.1839613738102681,0.1839613738102681,-0.23017991773003274,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,5,0,3,0.75,ok,0.1783706575847871,0.1783706575847871,0.1783706575847871,0.1783706575847871,0.1783706575847871,-0.243324340081869,50,l1,mean,positive,normalized_prototype_evidence_curves
esc50,5,0,4,1.0,ok,0.16630968740567062,0.16630968740567062,0.16630968740567062,0.16630968740567062,0.16630968740567062,-0.2564687624337053,50,l1,mean,positive,normalized_prototype_evidence_curves
